kategori;berita
valid;"Lewat media sosial Kimia Alizaedh menjelaskan alasannya menanggalkan kewarganegaraan Iran. Atlet taekwondo yang memenangkan medali perunggu pada Olimpiade Rio de Janeiro 2016 itu sedang mencari suaka di Eropa. ""Tidak ada yang mengundang saya ke Eropa dan saya tidak juga mendapat tawaran (bermigrasi). Tapi saya menerima rasa sakit akibat rindu tanah air karena saya tidak ingin lagi menjadi bagian dari hipokrisi, kebohongan dan ketidakadilan ini."" Tanpa gereget, pemerintah Iran bereaksi santai pada kabar muram dari Alizadeh. Kesaksiannya itu diumbar ketika otoritas Teheran sedang sibuk menghadapi kisruh politik di luar dan dalam negeri. Pekan lalu Garda Revolusi keliru menembak pesawat penumpang milik Ukraina dan membunuh semua penumpang yang sebagian besar berasal dari Iran. ""Saya belum membaca unggahan Kimia,"" kata Mahin Farhadizadeh, Wakil Menteri Olahraga Iran, kepada kantor berita ISNA. ""Sejauh yang saya tahu dia memang selalu berambisi melanjutkan studinya di bidang Fisioterapi."" Alizadeh menuding pemerintah Republik Islam mengurung atlet perempuan lewat serangkaian aturan berpakaian dan penampilan yang ketat. ""Saya adalah satu dari jutaan perempuan Iran yang ditindas yang selama bertahun-tahun menjadi mainan pemerintah,"" tukasnya dalam sebuah unggahan di Instagram. ""Saya mengenakan apapun yang mereka perintahkan dan mengulangi apa yang mereka inginkan. Saya mengulangi setiap kalimat yang mereka wajibkan kepada saya,"" tulis Alizadeh lagi. ""Tidak seorangpun dari kami yang berharga di mata mereka. Kami hanya alat."" Dia meyakini pemerintah Iran hanya berniat mengeksploitasi prestasi olahraganya untuk kepentingan politik. Sudah begitu, Alizadeh kerap menjadi korban ujaran merendahkan oleh pejabat yang gemar melontarkan komentar seperti, ""adalah tidak bermoral bagi perempuan untuk merenggangkan kakinya!"" Alizadeh mengaku medali perunggu yang dia raih untuk cabang taekwondo kelas 57kg di Brazil merupakan hadiah bagi perempuan Iran. Dalam surat pernyataannya, sang atlet sempat meragukan keputusannya sendiri. ""Haruskah saya memulai dengan halo, selamat tinggal atau ucapan duka? Halo perempuan Iran yang tertindas, selamat tinggal bangsa yang bermartabat, turut berbela sungkawa bagi mereka yang selalu berduka."" Alizadeh menjadi atlet ketiga Iran yang undur diri dan pindah kewarganegaraan. Desember silam Federasi Catur Iran melaporkan juara dunia Alireza Firouzja memutuskan berhenti mewakili negeri sendiri dalam turnamen internasional karena dilarang berkompetisi melawan pecatur Israel. Tiga bulan sebelumnya Federasi Judo Internasional mengabarkan atlet Iran Saeid Mollaei menolak pulang ke kampung halaman karena mengkhawatirkan keselamatan sendiri. Dalam sebuah turnamen dunia dia mengabaikan perintah federasi nasional untuk membatalkan pertandingan melawan atlet Israel."
valid;"""Microsoft Andalkan Hybrid Cloud untuk Layani Konsumen di Indonesia"""
valid;"""Microsoft masih akan mengandalkan hybrid cloud untuk mengakomodasi kebutuhan penyimpanan data konsumen di Indonesia. Layanan tersebut dinilai jauh lebih efisien, andal, dan komprehensif ketimbang mengandalkan kemampuan penyimpanan di pusat data (data center). “Kami yakin layanan hybrid cloud yang kami jalankan selama ini sudah sejalan dengan dinamika kebutuhan konsumen. Selain itu layanan ini juga tetap sesuai dan tunduk pada regulasi yang ditetapkan pemerintah Indonesia,” ujar President Director Microsoft Indonesia Haris Izmee dalam pembukaan Microsoft Cloud Innovation Summit 2019 di Jakarta, Rabu 13 November 2019. Acara yang digelar hingga 15 November 2019 tersebut bertujuan untuk mempercepat adopsi komputansi awan di berbagai industri, merekrut mitra baru, dan juga meningkatkan kompetensi dan jaringan di Indonesia. Lebih jauh Haris menyatakan teknologi hybrid cloud mampu memberikan layanan maksimal untuk para konsumen. ""Dengan kemudahan akses yang dapat dilakukan di seluruh dunia, teknologi cloud yang terhubung dengan data center di sejumlah negara membuat akses terhadap data tidak terbatas."""
valid;Facebook Resmi Rilis Facebook Pay sebagai Sarana Pembayaran di Media Sosial
valid;Jejaring sosial Facebook resmi meluncurkan fitur pembayaran baru bernama Facebook Pay yang akan terkoneksi dengan beberapa platform miliknya, yakni: Instagram, Messenger, dan WhatsApp. Fitur baru ini dirancang untuk mempermudah para pengguna dalam melakukan pembayaran untuk berbelanja, donasi daring, atau transfer uang langsung antarpengguna. “Selama ini aplikasi yang ada di Facebook sudah digunakan pengguna untuk berbelanja, berdonasi dan saling mengirim uang. Facebook Pay akan mempermudah aktivitas tersebut dengan tetap menjaga informasi transaksi agar tetap aman dan terlindungi,” tulis Vice President  Marketplace & Commerce Facebook Deborah Liu dalam keterangan resmi. Facebook Pay mendukung layanan dari sejumlah penyelenggara sistem pembayaran besar di dunia, serta platform transaksi digital lain seperti PayPal dan Stripe. Sistemnya juga didesain terpisah dari inisiatif cryptocurrency Facebook yang dikenal dengan Libra. Untuk sementara waktu, layanan ini baru bisa diakses oleh para pengguna di Amerika Serikat dan hanya dalam platform Facebook saja. Meski belum menyebut kapan fitur ini bakal tersedia di seluruh dunia global, Facebook berencana segera mengimplementasikannya di beberapa negara lain.
valid;"Jakarta, CNN Indonesia -- Kementrian Komunikasi dan Informatika Republik Indonesia (Kominfo) menyebut dua rumah sakit di Jakarta menjadi korban serangan siber ransomware WannaCry, yang juga melanda dunia. Dua rumah sakit yang dimaksud adalah Rumah Sakit Harapan Kita dan Rumah Sakit Dharmais. “Berdasarkan laporan yang diterima oleh Kominfo, serangan ditujukan ke Rumah Sakit Harapan Kita dan Rumah Sakit Dharmais.  Dengan adanya serangan siber ini kami minta agar masyarakat tetap tenang dan meningkatkan kehati-hatian dalam berinteraksi di dunia siber,” kata Direktur Jenderal Aplikasi Informatika, Semuel A. Pangerapan, dalam rilis yang diterima CNNIndonesia.com, Sabtu (13/5). Ransomware yang menyerang kedua rumah sakit itu, berjenis malicious software atau malware yang menyerang komputer korban dengan cara mengunci komputer atau mengenkripsi semua data yang ada sehingga tidak bisa diakses kembali. Guna membuka kembali data tersebut, korban harus membayar tebusan dalam bentuk Bitcoin. “Ini sungguh kejam,” kata Presiden Direktur Rumah Sakit Dharmais Abdul Kadir kepada Reuters. Dia menyebut nyaris semua komputer di rumah sakit terpengaruh. Ransonmware itu mengunci semua data dan mengganggu sistem teknologi informasi yang menyimpan seluruh data kesehatan pasien juga catatan pembayaran rumah sakit. Saat ini, RS Dharmais tengah berupaya menginstal ulang sistem untuk membuat komputer dan server kembali beroperasi. Dia berharap proses tersebut cepat selesai karena kini rumah sakit beroperasi tanpa sistem TI. Bukan hanya rumah sakit di Indonesia saja yang menjadi korban, sistem jaminan kesehatan nasional Inggris (NHS) juga ikut terkena dampak ransomware WannaCry tersebut. Gambar yang beredar di media sosial menunjukkan layar komputer NHS dipenuhi tuntutan pembayaran tebusan dalam bentuk Bitcoin, senilai US$300. Mereka meminta pembayaran dilakukan dalam waktu tiga hari, atau harga tebusan akan berlipat ganda. Dan, bila tidak ada pembayaran dilakukan hingga tujuh hari, data akan dihapus. ""Ransomware berubah jadi mimpi buruk saat menyerang institusi seperti rumah sakit, yang bisa membahayakan nyawa orang,"" kata Kroustek, analis Avast. Hal itu karena file yang terkunci membuat petugas kesehatan tidak bisa mengakses data pasien, sehingga prosedur operasi harus tertunda dan banyak pasien yang terjebak di rumah sakit. Selain rumah sakit, ransomware ini juga menyerang bank, perusahaan, layanan telekomikasi, serta layanan transportasi."
valid;Grasshopper, Game Mobile Buatan Google Untuk Belajar JavaScript
valid;"Bahasa pemrogaman di masa sekarang, sudah merupakan hal yang perlu untuk dipelajari. Dengan mempelajari bahasa pemrograman, kita bukan saja dapat membuat sebuah aplikasi maupun website, namun juga berguna untuk meningkatkan pola pikir kita secara logis. Namun, akan sangat sulit untuk menjelajahi bahasa pemrograman dengan menyenangkan. Area 120, sebuah inkubator milik Google, merilis sebuah game mobile yang bertujuan untuk menyelesaikan masalah tersebut. Game dengan nama Grasshopper merupkan sebuah game mempelajari bahasa pemrograman javascript secara lebih menyenangkan. Grasshopper merupakan game menyusun puzzle sambil belajar konsep pemrograman JavaScript. Game ini dapat dimainkan di Android maupun di iOS. Game ini dimainkan dengan cara menyusun puzzles berupa kumpulan code, dengan studi kasus tertentu tergantung dari tingkatan yang dilalui. Setiap tingkatan memiliki topik yang berbeda. Game ini juga memiliki tahap quiz untuk menguji pengetahuan kita berdasarkan topik dari tingkatan tersebut. selain itu, di setiap tingkatan atau topik memiliki sebuah penjelasan singkat mengenai topik yang diangkat serta contoh dari code tersebut. Grasshopper menawarkan serangkaian kursus, yang dimulai dengan tahap pertama yaitu ""Fundamentals"" di mana kita akan belajar bagaimana sebuah code bekerja. Variabel, string, fungsi, perulangan, array, conditional, operator, dan objek juga diajarkan per tahap. Setelah itu, tahap berikutnya adalah belajar menggambar bentuk menggunakan library D3, dan membuat fungsi yang lebih kompleks menggunakan D3. Bukan hanya itu saja, Grasshopper juga memiliki fitur dengan nama ""Code Playground"" dimana kita dapat membuat code kita sendiri."
valid;Presiden Zimbabwe yang berkuasa selama 37 tahun, Robert Mugabe, melakukan pembersihan partai yang dipimpinnya, Zanu-PF. Pembersihan itu dilakukan agar jalan sang istri, Grace, menuju posisi orang nomor satu Zimbabwe bisa mulus. Wakil Presiden Emmerson Mnangagwa termasuk dalam sosok yang ditendang oleh Mugabe. Namun, pendepakan Mnangagwa ternyata menjadi blunder. Sebab, panglima militer Zimbabwe, Jenderal Constantino Chiwenga, gusar mengingat Mnangagwa merupakan sekutu terdekat Mugabe. Chiwenga mendesak Mugabe agar menghentikan aksi pembersihan. Kalau tidak, militer bakal bersikap. Ucapan itu dibuktikan dengan pengerahan dua tank, dan sejumlah kendaraan taktis menuju ibu kota Harare 14 November. Selama sepekan, rakyat Zimbabwe diombang-ambing dalam situasi politik yang tidak menentu. Akhirnya, 21 November 2017, Mugabe mengumumkan pengunduran dirinya. Empat hari berselang pada 24 november 2017, Mnangagwa dilantik menjadi suksesor Mugabe.
valid;Sepekan digempur, kubu penting terakhir ISIS di Suriah akhirnya jatuh
valid;"Kota di kawasan timur Suriah itu merupakan salah satu basis terakhir kelompok yang menamakan diri mereka Negara Islam. Pengusiran milisi ISIS terjadi satu pekan dalam ""pertempuran hebat"". Laporan itu dirilis lembaga Pemantau Hak Asasi Manusia Suriah yang berbasis di Inggris. Seorang pimpinan lokal SDF mengatakan kepada BBC, pertempuran berikutnya akan dilakukan awal tahun 2019. Hajin diyakini merupakan kota besar terakhir yang dikuasai ISIS di wilayah timur Sungai Efrat, dekat perbatasan Suriah dengan Irak. Dipimpin milisi Kurdi (YPG), selama beberapa bulan terakhir SDF bertempur untuk melemahkan kekuatan ISIS di kawasan itu. Seorang sumber dari YPG mengatakan, mereka dan SDF berencana menumpas kekuatan ISIS yang tersisa di kota itu dalam satu hingga dua hari ke depan. Pengambilalihan Hajin menyisakan sedikit wilayah ISIS di bagian timur Sungai Efrat, basis operasi pasukan tempur yang disokong AS. Para milisi ISIS masih mengklaim menduduki sejumlah wilayah gurun di bagian barat sungai itu, kawasan yang sebenarnya dikuasai pemerintahan Suriah dan sekutu mereka. Setidaknya 2.000 dari total pasukan ISIS di kawasan Hajin merupakan warga negara asing, sebagian besar berasal dari Timur Tengah dan Eropa. Pimpinan ISIS, Abu Bakr al-Baghdadi, saat ini diyakini berada di wilayah timur Suriah. Namun Kobani tak dapat memastikan lokasi persis al-Baghdadi karena ia kerap bersembunyi dan hilang dari pantauan. Sejak 2017, pasukan ISIS terus terdesak keluar dari wilayah Suriah, baik oleh SDF yang didukung AS maupun tentara pemerintah Suriah yang disokong Rusia.

"
valid;"Liputan6.com, Jakarta - Subdit V Siber Ditreskrimsus Polda Jawa Timur menetapkan seorang youtuber berinisial AD sebagai tersangka baru atas dugaan kasus di Asrama Mahasiswa Papua Jalan Kalasan Surabaya.  Penetapan tersangka baru ini usai polisi memeriksa empat orang saksi yang terdiri dari saksi masyarakat dan ahli. Wadireskrimsus Polda Jatim AKBP, Arman Asmara mengatakan, AD ditangkap di Kebumen, Jawa Tengah, karena sebelumnya mengunggah video berjudul ""tolak kibarkan bendera merah putih Asrama Mahasiswa Papua digrudug warga"" di SPLN Chanel. ""Kami menetapkan satu tersangka yang melakukan ITE. Dia menggunakan youtube untuk mengunggah,"" tutur dia ilansir Antara, Kamis, 5 September 2019. Perwira menengah itu menuturkan, tersangka mengunggah video ke youtube pada 16 Agustus 2019. Padahal video tersebut sudah sejak 17 Agustus 2016 yang diolah dan diberi narasi baru. ""Sebagai pengunggah youtube pada tanggal 17 Juli 2016, kemudian diunggah kembali di-update 16 Agustus 2019,"" ucapnya. Penetapan AD sebagai tersangka dalam kasus asramah mahasiswa Papua, dia menuturkan, setelah polisi memeriksa empat orang saksi yang terdiri dari saksi masyarakat dan ahli. ""Kami telah memeriksa empat saksi, juga saksi ahli. Buktinya baik dari youtube, kami menemukan CD, termasuk ada video,"" ungkapnya. Atas perbuatannya, AD terjerat Pasal 28 ayat 2 dan Pasal 45 ayat 2 UU ITE karena diduga menyebarkan konten berita bohong alias hoaks. ""Pasal 28 ayat 2 dan pasal 45 ayat 2 UU ITE ancaman hukuman enam tahun. Setelah ditetapkan sebagai tersangka, kami juga melakukan penahanan,"" tutur dia."
valid;"Kerusuhan terjadi di wilayah Dekai, Kabupaten Yakuhimo, Papua. Kejadian itu menyebabkan satu personel polisi asal Polda Riau yakni Brigpol Saut Sibarani meninggal dunia. Kabid Humas Polda Papua Kombes Achmad Kamal, Rabu petang, membenarkan adanya insiden yang menewaskan satu anggota Brimob yang di-BKO-kan ke Polda Papua. ""Memang ada insiden yang menewaskan anggota Brimob asal Polda Riau, namun hingga kini belum ada laporan lengkap tentang kronologis insiden tersebut,"" ujar Kombes Kamal di Jayapura, Rabu, 18 desember 2019. Informasi yang dihimpun mengungkapkan insiden berawal dari saat anggota yang sedang melaksanakan piket penjagaan di Mapolres Yahukimo berupaya menyelesaikan masalah kesalahpahaman antara Camat Distrik Lolat dengan masyarakat lolat (Pak Guru). Saat anggota berupaya menyelesaikan kesalahpahaman tersebut, ada warga yang buang air kecil di samping penjagaan Mapolres Yahukimo di Dekai, sehingga ditegur anggota yang kemudian memukulnya hingga mengalami luka di bagian hidung dan berdarah. Korban kemudian melaporkan insiden yang dialaminya ke KSPKT Bripka Toniwi Pareme, namun tiba-tiba warga yang berada di luar Mapolres Yahukimo langsung menyerang ke penjagaan dengan melempari batu serta memukul Bripka Toniwi Pareme, dan kemudian warga membubarkan diri. Anggota Polres Yahukimo kemudian melakukan pencarian terhadap pelaku pengeroyokan, kembali mendapat perlawanan dari masyarakat yang ada di seputaran pasar lama sehingga anggota mengeluarkan tembakan peringatan, hingga mengakibatkan masyarakat melakukan pembakaran dua unit sepeda motor milik warga lainnya. Bahkan para perusuh menyerang dan menganiaya Brigadir Hendra Saut Sibarani yang saat itu sedang melewati permukiman jalur 1 hendak ke arah Pos Masjid At-Taqwa, tepatnya di depan Toko Cahaya Yahukimo. Sekitar pukul 14.20 WIT, Brigpol Sibarani meninggal dunia, setelah sempat ditangani paramedis di RSUD Dekai. Selain Brigpol Sibarani, tercatat dua orang mengalami luka-luka, yaitu Bripda Agustinus Nabu (19) dan Nikolaus Ribo Situr (31)."
valid;"Surabaya, CNN Indonesia -- Sebanyak 43 mahasiswa Papua dibawa ke Markas Kepolisian Resor Kota Besar (Mapolrestabes) Surabaya. Mereka diangkut paksa oleh sejumlah aparat kepolisian dari asrama yang mereka tempati di Jalan Kalasan, Surabaya. Wakapolrestabes Surabaya AKBP Leonardus Simarmata menyampaikan penangkapan puluhan mahasiswa tersebut untuk kepentingan pemeriksaan terkait dugaan perusakan bendera yang dilakukan oknum mahasiswa. ""Kami lakukan upaya penegakan hukum terhadap peristiwa terhadap lambang negara yaitu bendera merah putih yang ditemukan patah kemudian jatuh di got,"" kata Leo saat ditemui di lokasi, Sabtu , 17 agustus 2019. Para mahasiswa Papua tersebut terdiri dari tiga orang perempuan dan 40 laki-laki. Leo berjanji akan memperlakukan semua mahasiswa dengan baik. Leo juga membantah bahwa polisi melakukan pengusiran terhadap mahasiswa yang menghuni Asrama Papua. Menurutnya isu itu bisa menimbulkan kegaduhan di tengah masyarakat.""Satu hal yang paling penting yang kami perlu garis bawahi bahwa tidak ada isu ataupun fakta pengusiran mahasiswa ataupun warga Papua di Jalan Kalasan atau di Surabaya,"" kata dia. Lebih lanjut, kata Leo, polisi akan tetap menjaga hak seluruh warga negara Indonesia yang tengah berada di Surabaya, termasuk mahasiswa Papua. Jika proses hukum telah selesai maka mahasiswa yang tak terbukti bersalah akan dikembalikan ke asrama. ""Kami menjaga hak seluruh warga negara Indonesia terutama yang ada di Surabaya,"" ujarnya. Sebelumnya suasana Asrama Mahasiswa Papua di Surabaya kembali mencekam. Sejumlah personel kepolisian memaksa masuk ke asrama sembari membawa senjata pelontar gas air mata. Pantauan CNNIndonesia.com di lokasi terhitung ada sekira 23 kali tembakan gas air mata yang dilontarkan kepolisian, ke arah penghuni asrama. Yang berada di lantai satu dan dua asrama."
valid;"Industri game di Indonesia bisa terbilang jauh tertinggal dibandingkan negara maju seperti Amerika Serikat ataupun Jepang. Tapi, kemunculannya berkembang cukup pesat pada masa kejayaan platform Flash, bahkan makin tumbuh besar ketika akses untuk merilis game dipermudah platform mobile seperti Android ataupun iOS. Kini berbagai judul game seperti Warung Chain, Tahu Bulat, DreadOut, dan lainnya mulai sering bermunculan di media lokal, bahkan internasional. Mengutip semboyan populer dari Presiden Soekarno di pidato terakhirnya pada 17 Agustus 1966, “Jangan sekali-sekali meninggalkan sejarah!” Industri game Indonesia pun tentunya memiliki sejarahnya sendiri yang menarik untuk dibahas. Semua pertanyaan tersebut saya coba ungkap melalui seri artikel Sejarah Game Indonesia yang akan dirilis secara berkala, tanpa waktu tetap. Karena bangsa yang baik adalah bangsa yang selalu mengingat sejarahnya, dan tentunya kita semua bisa belajar banyak untuk masa depan industri game lokal dari kisah-kisah yang telah lalu. Tanpa panjang lebar lagi, selamat menikmati napak tilas industri game Indonesia. Developer game pertama dalam negeri
(Wawancara untuk artikel ini dilakukan pada awal 2017, beberapa hal, seperti posisi yang bersangkutan, mungkin telah berubah sejak wawancara berlangsung). Jika ditanya siapa pelaku senior atau sesepuh industri game Indonesia, kemungkinan orang-orang akan menyebutkan nama-nama seperti Touchten Games, Toge Productions, Agate Studios, dan beberapa kelompok atau individu lainnya. Kalau berbicara dengan orang-orang yang lebih paham tentang industri game lokal, yang muncul mungkin justru nama-nama lain seperti Menara Games, Altermyth, ArtLogic, dan Matahari Studios. Beberapa media populer di tahun 2000-an sempat memberikan predikat Bapak Game Indonesia dan Game Pertama Asli Indonesia kepada David Setiabudi dari DivineKids, salah satu studio game paling senior yang sampai saat ini masih aktif berkarya."
valid;"Jakarta, CNN Indonesia -- Ribuan warga Palestina dilaporkan mengikuti parade perayaan Hari Natal di Kota Ramallah, Tepi Barat, pada Senin, 13 desember 2019. Warga Palestina menyebut parade itu dilakukan sebagai upaya menyebarkan pesan harapan dari Palestina ke dunia. Sebagai bagian dari perayaan Hari Natal nasional, warga Palestina baik dari kalangan tua maupun muda bergabung dalam pawai yang dipimpin oleh kelompok pramuka di pusat kota. Para peserta pawai juga turut menyanyikan lagu-lagu Natal. Gubernur Ramallah, Laila Ghannam, mengatakan parade Natal ini mencerminkan bahwa ""warga Palestina ingin dilihat dunia."" ""Ini adalah hari libur nasional bagi kami semua, di mana kami ingin mengirim pesan ke seluruh dunia bahwa kami semua layak memiliki negara sendiri dan pantas mendapat dukungan dari semua pencinta kebebasan bagi mereka yang menderita setiap hari tetapi tidak pernah kehilangan harapan,"" kata Ghannam. Gubernur Ramallah, Laila Ghannam, mengatakan parade Natal ini mencerminkan bahwa ""warga Palestina ingin dilihat dunia."" ""Ini adalah hari libur nasional bagi kami semua, di mana kami ingin mengirim pesan ke seluruh dunia bahwa kami semua layak memiliki negara sendiri dan pantas mendapat dukungan dari semua pencinta kebebasan bagi mereka yang menderita setiap hari tetapi tidak pernah kehilangan harapan,"" kata Ghannam. Sementara itu, seorang pastor paroki Gereja Katolik Ramallah, Jamal Duaibes, menuturkan parade ini menunjukkan seberapa besar warga Palestina merindukan harapan dan kebahagiaan di tengah perjuangan mereka sehari-hari di bawah pendudukan Israel. ""Ini adalah pesan yang jelas bahwa kami ingin merayakan kebahagiaan Natal. Kami ingin menyebarkan sukacita ini dan pesan Natal,"" tutur Duaibes. Hari Natal di Palestina memang dianggap lebih sebagai acara nasional daripada hari raya keagamaan karena Yesus Kristus diyakini lahir di Kota Bethlehem, Tepi Barat, Palestina."
valid;"Otoritas Jasa Keuangan (OJK) membuka peluang bagi AJB Bumiputera 1912 untuk mengubah statusnya dari badan usaha bersama (mutual) menjadi perseroan terbatas (PT). ""Silahkan diusulkan. Nanti kami evaluasi,"" ucap Dewan Komisioner Pengawas Industri Keuangan Non Bank OJK Riswinandi, Kamis, 16 Januari 2020. Riswinandi menyatakan pihaknya memberikan kebebasan kepada manajemen untuk membuat strategi bisnis. Hal yang pasti, strategi itu dibuat untuk membenahi keuangan AJB Bumiputera. ""Pokoknya mereka (manajemen) harus datang dengan satu proposal yang bisa memberikan kebaikan ke depan,"" jelasnya. Diketahui, Presiden Joko Widodo (Jokowi) baru saja meneken aturan hukum yang mengubah ketentuan pengelola tertinggi perusahaan asuransi berbentuk usaha bersama, khususnya AJB Bumiputera. Hal itu tertuang dalam Peraturan Pemerintah (Perpres) Nomor 87 Tahun 2019 tentang Perusahaan Asuransi Berbentuk Usaha Bersama. Beleid ini diteken Jokowi pada 26 Desember 2019 lalu. Dalam aturan itu, keputusan AJB Bumiputera tak lagi hanya berada di Badan Perwakilan Anggota (BPA), tapi kini melalui Rapat Umum Anggota (RUA). Peserta RUA adalah anggota yang berhak hadir dan dipilih oleh panitia pemilihan dengan mekanisme tertentu. Wewenang RUA, di antaranya menetapkan kebijakan umum di bidang organisasi, tata kelola, manajemen, anggaran, dan bisnis. Selain itu, menetapkan anggaran dasar dan perubahan, mengangkat, mengganti, dan memberhentikan anggota direksi dan/atau anggota dewan komisaris, meminta keterangan dari direksi dan/atau dewan komisaris dalam pelaksanaan tugas masing-masing, serta menetapkan gaji, tunjangan, dan atau honorarium anggota direksi dan anggota dewan komisaris. Anggota RUA bisa berasal dari pemegang polis perseorangan berkewarganegaraan Indonesia dan pemegang polis badan hukum, lembaga, kelompok, atau perkumpulan yang tunduk pada hukum Indonesia. Dalam beleid itu dikatakan bahwa anggota RUA bisa berasal dari setiap wilayah pemilihan sesuai data domisili terakhir. ""Dengan adanya aturan ini, ini akan memperbaiki posisi regulator di dalam melakukan pengawasan terhadap asuransi mutual,"" ujar Riswinandi. Sebelumnya, Direktur Utama AJB Bumiputera Dirman Pardosi mengatakan pihaknya akan menjual sejumlah aset demi melunasi sebagian tunggakan klaim nasabah dan mengoptimalkan aset perusahaan. Dari aksi itu, ia menargetkan dapat meraup dana segar sebesar Rp2 triliun. ""Penjualan aset adalah bagian dari optimalisasi aset, terlalu sempit jika hanya untuk membayar outstanding claim,"" katanya. Dirman bilang total klaim jatuh tempo atau outstanding sebesar Rp4,1 triliun. Utang klaim ini tepatnya untuk periode 2018 dan 2019. Sekadar mengingatkan, persoalan keuangan AJB Bumiputera awalnya terkuak pada 2010 lalu. Saat itu, kemampuan AJB Bumiputera dalam memenuhi kewajibannya, baik utang jangka panjang maupun jangka pendek alias solvabilitas hanya 82 persen. Ini artinya, AJB Bumiputera tidak bisa mematuhi amanat Keputusan Menteri Keuangan (KMK) Nomor 504 Tahun 2004 tentang solvabilitas perusahaan asuransi yang mencapai 100 persen. Pada 2012 lalu, jumlah aset yang dimiliki hanya Rp12,1 triliun, tapi kewajiban perusahaan tembus Rp22,77 triliun."
valid;"validLiputan6.com, Jakarta - TNI terus mengerahkan beberapa pesawat hercules dan helikopter untuk mengangkut seluruh pengungsi yang akan kembali ke Wamena, Jayawijaya, Papua pascakerusuhan. Kondisi Wamena saat ini sudah berangsur kondusif. Panglima TNI Marsekal Hadi Tjahjanto berharap para pengungsi yang masih berada di Lanud Silas Papare bisa kembali ke tempat tinggalnya di Wamena. Karena itu, TNI siap memfasilitasi para pengungsi yang akan kembali ke Wamena. ""Alutsista yang digunakan untuk mendukung pengungsi adalah Hercules C-130 dan helikopter milik TNI,"" kata Hadi dalam keterangannya, Jakarta, Rabu 9 oktober 2019. TNI telah menyiagakan tiga pesawat hercules di Jayapura yang siap digunakan untuk mengangkut pengungsi yang berada di Jayapura untuk kembali ke Wamena. ""Untuk pengungsi yang berada di Ilaga akan kita gunakan helikopter, di mana nanti akan berangkat dari Timika. Sedangkan yang berada di Merauke akan kita dukung hercules untuk kembali ke Wamena,"" sebutnya. Hadi menegaskan, TNI-Polri akan tetap menjaga stabilitas keamanan di wilayah Wamena termasuk juga yang berada di Oksibil serta Ilaga dengan melakukan penambahan pos pengamanan sesuai permintaan dari beberapa tokoh masyarakat."
valid;Bencana tanah longsor menerjang kota Mocoa, Kolombia, pada Jumat malam, 31 Maret 2017. Menyebabkan setidaknya 254 orang tewas, 43 di antaranya anak-anak. Longsor di Kolombia ini menjadi serangkaian bencana serupa yang melanda kawasan sisi pasifik Amerika Selatan dalam beberapa bulan sebelumnya. Bencana serupa juga terjadi di Peru dan Ekuador yang mengakibatkan sejumlah warga tewas.
valid;Bencana tanah longsor menerjang kota Mocoa, Kolombia, pada Jumat malam, 31 Maret 2017. Menyebabkan setidaknya 254 orang tewas, 43 di antaranya anak-anak. Longsor di Kolombia ini menjadi serangkaian bencana serupa yang melanda kawasan sisi pasifik Amerika Selatan dalam beberapa bulan sebelumnya. Bencana serupa juga terjadi di Peru dan Ekuador yang mengakibatkan sejumlah warga tewas.
valid;"akarta, CNN Indonesia -- Ratusan orang meninggal akibat banjir dan tanah longsor yang melanda Ibu Kota Sierra Leone, Freetown. Juru Bicara Palang Merah Sierra Leone Patrick Massaquoi, seperti dikutip AFP, Senin (14/8), mengatakan, berdasarkan data sementara yang dihimpun, jumlah korban tewas mencapai 312 orang. Jumlah tersebut kemungkinan masih akan bertambah, karena tim Palang Merah masih berada di lokasi banjir untuk melakukan pendataan. AFP melaporkan, sejumlah jalan berubah seperti sungai. Sejumlah mayat tampak tergeletak di pinggir-pinggir jalan. Selain itu, pemandangan mayat yang ditumpuk juga terlihat di beberapa lokasi. Petugas rumah sakit Connaught Hospital, Mohammed Sinneh mengatakan, ada sekitar 180 mayat yang dibawa ke Connaught Hospital. ""Banyak di antaranya anak-anak,"" kata Sinneh. Sementara, petugas penanggulangan bencana Sierra Leone, Candy Rogers mengatakan, bencana banjir membuat lebih dari 2.000 orang kehilangan tempat tinggal. ""Upaya kemanusiaan besar sangat dibutuhkan untuk mengatasi dampak banjir,"" kata Candy. Banjir yang menerjang kota berpenduduk 1,2 juta disebabkan karena hujan lebat yang mengguyur wilayah itu sejak beberapa hari lalu. Banjir kali ini bukanlah yang pertama terjadi. Pada tahun 2015 banjir yang melanda Kota Freetown menewaskan 10 orang dan menyebabkan ribuan orang kehilangan tempat tinggal. Ancaman penyebaran penyakit juga menghantui para pengungsi bila tidak segera mendapatkan penanganan serius. Sierra Leone merupakan salah satu negara Afrika barat yang pernah dilanda wabah virus Ebola. Pada tahun 2014, Virus ebola menewaskan lebih dari 4.000 orang di negara ini.
"
